"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030324","Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4734.298","true","-1","N/A","0","false","4734.298","true","0","false","0","9720","9720","6","true","false",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030462","Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33865.029","true","-1","N/A","0","false","33865.029","true","0","false","0","121480","121480","6","true","false",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030617","Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","104384.86","true","-1","N/A","0","false","104384.86","true","0","false","0","847916.11","847916.11","6","true","false",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030743","Molluscs; cuttle fish and squid, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4176.133","true","-1","N/A","0","false","4176.133","true","0","false","0","20128","20128","6","true","false",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030752","Molluscs; octopus (Octopus spp.), frozen","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7599.699","true","-1","N/A","0","false","7599.699","true","0","false",,"70312","70312","6","true","false",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","160521","Crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5770.08","true","-1","N/A","0","false","5770.08","true","0","false",,"63406.69","63406.69","6","true","false",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","160529","Crustacean preparations; shrimps and prawns, prepared or preserved, in airtight containers","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93359.815","true","-1","N/A","0","false","93359.815","true","0","false","0","1060965.04","1060965.04","6","true","false",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","160554","Mollusc preparations; cuttle fish and squid, prepared or preserved","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","917.115","true","-1","N/A","0","false","917.115","true","0","false",,"5400","5400","6","true","false",
"C","A","20200101","2020","52","2020","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","160555","Mollusc preparations; octopus, prepared or preserved","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","719.082","true","-1","N/A","0","false","719.082","true","0","false","0","11913.76","11913.76","6","true","false",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H6","HS","true","030462","Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45028.908","true","-1","N/A","0","false","45028.908","true","0","false",,"165510","165510","6","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H6","HS","true","030617","Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15040.992","true","-1","N/A","0","false","15040.992","true","0","false",,"132344.5","132344.5","6","false","true",
"C","A","20220101","2022","52","2022","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H6","HS","true","160529","Crustacean preparations; shrimps and prawns, prepared or preserved, in airtight containers","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16209.71","true","-1","N/A","0","false","16209.71","true","0","false",,"191475","191475","6","false","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030462","Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66659.823","true","-1","N/A","0","false","66659.823","true","0","false",,"211862.69","211862.69","6","true","false",
"C","A","20180101","2018","52","2018","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030462","Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20389.491","true","-1","N/A","0","false","20389.491","true","0","false",,"69729","69729","6","true","false",
"C","A","20210101","2021","52","2021","704","VNM","Viet Nam","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","030462","Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22005.861","true","-1","N/A","0","false","22005.861","true","0","false","0","76272","76272","6","true","false",
